S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,
15,T.NO 31,S,DA,26,130-131,221.93016919743022,3.87,377,,77.0975,11.042777777777777,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0975 11.042777777777777, 77.09519444444445 11.041305555555555)",,
16,T.NO 32,T,DB,24,131-132,302.59709185648165,2.15,376,"0°15'15""",77.09519444444445,11.041305555555555,GOOD,GOOD,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09519444444445 11.041305555555555, 77.0928611111111 11.039777777777777)",,
17,T.NO 33,S,DA,26,132-133,303.98026251715754,3.96,376,,77.0928611111111,11.039777777777777,GOOD,GOOD,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0928611111111 11.039777777777777, 77.09077777777777 11.038388888888889)",,
18,T.NO 34,S,DA,26,133-134,274.3082208028042,7.45,378,,77.09077777777777,11.038388888888889,GOOD,GOOD,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09077777777777 11.038388888888889, 77.08852777777777 11.036833333333334)",,
19,T.NO 35,S,DA,26,134-135,301.3171087077533,4.02,376,,77.08852777777777,11.036833333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08852777777777 11.036833333333334, 77.08619444444444 11.035361111111111)",,
20,T.NO 36 SULUR LILO,T,DB,24,135-136,302.88776799336085,3.17,377,"0°32'25""",77.08619444444444,11.035361111111111,GOOD,GOOD,,,CULTI VACTION,SULUR LILO.NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08619444444444 11.035361111111111, 77.08383333333333 11.033833333333334)",,
21,T.NO 37,S,DA,26,136-137,306.4718584144391,2.17,380,,77.08383333333333,11.033833333333334,GOOD,GOOD,HT,,CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08383333333333 11.033833333333334, 77.08166666666666 11.032416666666668)",,
22,T.NO 38,S,DA,26,137-138,284.0070421662111,4.29,379,,77.08166666666666,11.032416666666668,GOOD,GOOD,"LT,HT",,CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08166666666666 11.032416666666668, 77.07930555555555 11.030916666666668)",,
23,T.NO 39,T,DB,24,138-139,308.4234102658227,3.44,380,"0°51'44""",77.07930555555555,11.030916666666668,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07930555555555 11.030916666666668, 77.07733333333333 11.029611111111112)",,
24,T.NO 40,T,DB,24,139-140,258.2343896540505,4.63,379,"0°18'51""",77.07733333333333,11.029611111111112,GOOD,GOOD,HT,"TAAR ROAD,",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07733333333333 11.029611111111112, 77.07563888888889 11.028472222222224)",,
25,T.NO 41,T,DB,24,140-141,224.65974272218867,6.75,384,"0°2'9""",77.07563888888889,11.028472222222224,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07563888888889 11.028472222222224, 77.07363888888888 11.027111111111111)",,
26,T.NO 42,S,DA,26,141-142,266.092089322475,4.23,384,,77.07363888888888,11.027111111111111,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07363888888888 11.027111111111111, 77.07124999999999 11.025583333333334)",,
27,T.NO 43,S,DA,26,142-143,310.64449134018133,2.82,384,,77.07124999999999,11.025583333333334,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07124999999999 11.025583333333334, 77.0701111111111 11.024833333333333)",,
28,T.NO 44,T,DC,26,143-144,148.38463532320318,5.82,382,"16°7'32""",77.0701111111111,11.024833333333333,GOOD,GOOD,"2 nos LT, 3nos HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0701111111111 11.024833333333333, 77.06897222222221 11.024472222222222)",,
29,T.NO 45,T,DD,28,144-145,132.5028301584536,2.37,383,"30°49'44""",77.06897222222221,11.024472222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06897222222221 11.024472222222222, 77.06855555555555 11.024583333333334)",,
30,GANTRY 110KV IRUGUR SS,T,GANTRY,20,145-GANTRY,45.12205669071391,,387,,77.06855555555555,11.024583333333334,GOOD,MISSING,,,,110KV IRUGUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,=SUM(G9:G37),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
