Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Difference,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,
51,S,26,52 to 51,223.13917522365244,223.91416695335946,,4.1,156,,11.347797,77.771135,GOOD,GOOD,LT crossing ,,sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.771135 11.347797, 77.7728 11.3482222)",,,,,,,,,,,,,,
50,T,28,51 to 50 ,189.49641208899718,187.87200106454895,,4.6,158,"51⁰45'46"" LT",11.3482222,77.7728,GOOD,GOOD,,,sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7728 11.3482222, 77.77364 11.350108)",,,,,,,,,,,,,,
49,S,26,50 to 49 ,229.48990392859483,228.03168944278062,,4.5,157,,11.350108,77.77364,GOOD,GOOD,,Road crossing ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77364 11.350108, 77.774698 11.352538)",,,,,,,,,,,,,,
48,S,26,49 to 48,289.0839095211668,292.7738840764416,,5.6,162,,11.352538,77.774698,GOOD,GOOD,LT crossing ,Road crossing ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.774698 11.352538, 77.775648 11.354502)",,,,,,,,,,,,,,
47,S,26,48 to 47,243.20774578614532,240.90880695063254,,5.8,162,,11.354502,77.775648,GOOD,GOOD,,Road crossing ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.775648 11.354502, 77.776365 11.356133)",,,,,,,,,,,,,,
46,T,26,47 to 46,203.11667630639764,196.80557244060424,,6.2,166,"16⁰27'44"" LT",11.356133,77.776365,GOOD,GOOD,,Road crossing ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.776365 11.356133, 77.77661 11.358105)",,,,,,,,,,,,,,
45,S,28,46 to 45 ,215.59833317630824,219.93242343351096,,6.6,166,"43⁰5'55"" LT",11.358105,77.77661,GOOD,GOOD,lt-11kv line crossing ,Road crossing ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77661 11.358105, 77.776043 11.358872)",,,,,,,,,,,,,,
44,T,28,45 to44,109.25521634010659,105.09537625939565,,4.8,169,"31⁰27'48"" RT",11.358872,77.776043,GOOD,GOOD,,"Road,Railway crossing",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.776043 11.358872, 77.775818 11.361604)",,,,,,,,,,,,,,
43,T,26,44 to43,305.9439890939675,303.42610763706296,,5.2,179,"19⁰47'18"" RT",11.361604,77.775818,GOOD,GOOD,"2-11kv ,lt line crossing ",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.775818 11.361604, 77.776553 11.364284)",,,,,,,,,,,,,,
42,S,26,43 to 42 ,311.72651832679185,307.34435142027326,,5.6,180,,11.364284,77.776553,GOOD,GOOD,,Road crossing ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.776553 11.364284, 77.777063 11.36607)",,,,,,,,,,,,,,
41,T,26,42 to 41,211.60857504087954,205.4067128226511,,5.1,189,"20⁰25'24"" LT",11.36607,77.777063,GOOD,GOOD,,Road crossing ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.777063 11.36607, 77.77695 11.36743)",,,,,,,,,,,,,,
40,T,26,41 to 40,145.75789576826247,151.05567471455643,,4.3,191,"17⁰46'43"" LT",11.36743,77.77695,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77695 11.36743, 77.776313 11.36895)",,,,,,,,,,,,,,
39,S,26,40 to 39 ,179.75210403660444,182.0811052227652,,4.1,193,,11.36895,77.776313,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.776313 11.36895, 77.775578 11.370752)",,,,,,,,,,,,,,
38,T,26,39 to 38 ,223.6702707442985,215.02897690289433,,5.3,187,"25⁰24'30"" RT",11.370752,77.775578,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.775578 11.370752, 77.775707 11.372842)",,,,,,,,,,,,,,
37,S,26,38 to 37 ,228.70464818675694,231.78924566942808,,4.1,187,,11.372842,77.775707,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.775707 11.372842, 77.775915 11.375073)",,,,,,,,,,,,,,
36,T,26,37 to 36 ,246.0648915466773,248.01197754910768,,5.1,189,"21⁰57'21"" LT",11.375073,77.775915,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.775915 11.375073, 77.775247 11.37727)",,,,,,,,,,,,,,
35,S,26,36 to 35,251.44563388857074,253.9144595547485,,4.5,186,,11.37727,77.775247,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.775247 11.37727, 77.774513 11.379972)",,,,,,,,,,,,,,
34,S,26,35 to 34 ,320.7594896107805,309.66633269761206,,5.1,193,,11.379972,77.774513,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.774513 11.379972, 77.773652 11.382685)",,,,,,,,,,,,,,
33,T,26,34 to 33,318.92421988033766,314.7055064752086,,5.6,193,"19⁰51'27"" LT",11.382685,77.773652,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.773652 11.382685, 77.772292 11.38445)",,,,,,,,,,,,,,
32,S,26,33 to 32 ,246.3097081101418,245.4384678692868,,5.4,179,,11.38445,77.772292,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.772292 11.38445, 77.770968 11.386093)",,,,,,,,,,,,,,
31,S,26,32 to  31 ,233.41469030666096,232.36172032202245,,5.1,183,,11.386093,77.770968,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.770968 11.386093, 77.769455 11.388057)",,,,,,,,,,,,,,
30,S,26,31 to 30 ,270.74995142176493,273.0870432779513,,5.1,185,,11.388057,77.769455,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.769455 11.388057, 77.768067 11.389767)",,,,,,,,,,,,,,
29,S,26,30 to 29 ,248.91253728543023,242.5173133868413,,5.1,182,,11.389767,77.768067,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.768067 11.389767, 77.76654 11.39165)",,,,,,,,,,,,,,
28,T,24,29 to 28 ,265.6802104577005,266.9545805889185,,4.3,190,"3⁰35'59"" LT",11.39165,77.76654,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76654 11.39165, 77.76619 11.39203)",,,,,,,,,,,,,,
27,Dp1,26,28 to 27 ,57.67523748965001,56.84008792105365,,4.4,192,,11.39203,77.76619,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76619 11.39203, 77.76569 11.39247)",,,,,,,,,,,,,,
26,Dp2,26,27 to 26 ,74.13481989808717,73.17537893036025,,4.3,190,,11.39247,77.76569,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76569 11.39247, 77.76516 11.39298)",,,,,,,,,,,,,,
25,T,28,26 to 25,74.2347769755593,80.8586489232267,,4.6,189,"42⁰36'48"" LT",11.39298,77.76516,GOOD,GOOD,,Car Track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76516 11.39298, 77.76203 11.39307)",,,,,,,,,,,,,,
24,T,24,25 to 24,338.8028332865593,342.0019338239248,,4.8,185,"6⁰23'24"" LT",11.39307,77.76203,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76203 11.39307, 77.76068 11.39296)",,,,,,,,,,,,,,
23,S,26,24 to 23 ,146.64468860599726,147.94790513661997,,4.3,184,,11.39296,77.76068,GOOD,GOOD,LT crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76068 11.39296, 77.75764 11.39271)",,,,,,,,,,,,,,
22,S,26,23 to 22 ,335.97736361526097,333.1773952066193,,4.8,183,,11.39271,77.75764,GOOD,GOOD,"2-11kv ,line crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75764 11.39271, 77.753798 11.392738)",,,,,,,,,,,,,,
21,T,28,22 to 21 ,186.46796936532428,199,,5.1,186,"107⁰43'16"" LT",11.392738,77.753798,GOOD,GOOD,3-LT-11kv line ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.753798 11.392738, 77.75381 11.3927)",,,,,,,,,,,,,,
20,T,28,21 t o 20,231.78817793300652,225,,4.36,183,"86⁰25'22"" RT",11.3927,77.75381,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75381 11.3927, 77.75187 11.39197)",,,,,,,,,,,,,,
19,S,26,20 to 19 ,228.17311835771352,226.77086158556176,,4.4,179,,11.39197,77.75187,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75187 11.39197, 77.74969 11.3912)",,,,,,,,,,,,,,
18,S,26,19 to 18 ,249.77712701835586,252.89417604863223,,4.6,176,,11.3912,77.74969,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74969 11.3912, 77.74748 11.39035)",,,,,,,,,,,,,,
17,S,26,18 to 17,259.89686489559494,259.0649717453513,,4.1,176,,11.39035,77.74748,GOOD,GOOD,LT crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74748 11.39035, 77.74495 11.38954)",,,,,,,,,,,,,,
16,T,24,17 to 16 ,291.4825913983998,290.5076648184661,,4.9,177,"13⁰48'16"" RT",11.38954,77.74495,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74495 11.38954, 77.74245 11.38936)",,,,,,,,,,,,,,
15,S,26,16 to15,274.4046655629527,273.7736066453926,,5.2,170,,11.38936,77.74245,GOOD,GOOD,LT crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74245 11.38936, 77.74054 11.38925)",,,,,,,,,,,,,,
14,T,24,15 to 14 ,209.8718161556735,208.9631435341477,,4.8,176,"12⁰52'46"" LT",11.38925,77.74054,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74054 11.38925, 77.73838 11.38863)",,,,,,,,,,,,,,
13,S,26,14 to 13,243.10305235382864,245.69302444884525,,4.5,171,,11.38863,77.73838,GOOD,GOOD,LT crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73838 11.38863, 77.73666 11.38813)",,,,,,,,,,,,,,
12,T,24,13 to 12,197.08095682810062,195.8403256176243,,4.1,173,"7⁰27'42"" LT",11.38813,77.73666,GOOD,GOOD,LT crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73666 11.38813, 77.73579 11.38775)",,,,,,,,,,,,,,
11,T,24,12 to 11 ,104.05382662589567,103.9148321182163,,3.9,173,"0⁰43'15"" RT",11.38775,77.73579,GOOD,GOOD,LT crossing ,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73579 11.38775, 77.7347 11.38729)",,,,,,,,,,,,,,
10,T,24,11to 10 ,134.10621384839845,129.4813854549673,,4.3,182,"14⁰37'9"" LT",11.38729,77.7347,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7347 11.38729, 77.733765 11.386575)",,,,,,,,,,,,,,
9,T,24,10  to 9,125.91891513462679,129.2003650035712,,4.1,161,"10⁰0'50"" RT",11.386575,77.733765,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.733765 11.386575, 77.732142 11.385732)",,,,,,,,,,,,,,
8,S,26,9 to 8,196.0507544908528,200.32481820588828,,4.3,161,,11.385732,77.732142,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.732142 11.385732, 77.730383 11.384775)",,,,,,,,,,,,,,
7,T,28,8 to 7,222.9288177219525,219.38832157049066,,4.1,162,"39⁰17'58"" RT",11.384775,77.730383,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.730383 11.384775, 77.727998 11.385208)",,,,,,,,,,,,,,
6,S,26,7 to 6,260.21623397781457,264.86141130504836,,5.2,166,,11.385208,77.727998,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.727998 11.385208, 77.725825 11.385575)",,,,,,,,,,,,,,
5,T,26,6 to 5,243.5791117260824,240.7849325944295,,6.4,166,"20⁰54'42"" LT",11.385575,77.725825,GOOD,GOOD,33kv line crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.725825 11.385575, 77.724023 11.385223)",,,,,,,,,,,,,,
4,S,26, 5 to 4,203.89908157861697,200.63245730844656,,4.8,166,,11.385223,77.724023,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.724023 11.385223, 77.722022 11.384825)",,,,,,,,,,,,,,
3,T,24,4 to 3,218.67676158750027,222.9433837375261,,6.5,166,"2⁰45'55"" LT",11.384825,77.722022,GOOD,GOOD,,,,under line S/C crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.722022 11.384825, 77.719303 11.384148)",,,,,,,,,,,,,,
2,T,24,3 to 2  ,306.10444249179403,306.27583217120724,,6.7,157,"0⁰55'23"" RT",11.384148,77.719303,GOOD,GOOD,110kv line crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.719303 11.384148, 77.716865 11.383582)",,,,,,,,,,,,,,
1,T,26,2 to 1,270.79805126087825,273.54725454338086,,3.1,156,"15⁰55'33"" RT",11.383582,77.716865,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.716865 11.383582, 77.71593 11.38365)",,,,,,,,,,,,,,
LILO(1A),T,26,1  to 1Alilo,70.55438639531232,103,,0.5,167,"20⁰31'54"" RT",11.38365,77.71593,GOOD,GOOD,,,,LILO  to 50 mtrs towards 110 kv SamayaSangili SS(Need Approach cable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71593 11.38365, 77.715617 11.383811)",,,,,,,,,,,,,,
BKB 1 Gantry ,Gantry ,20,1Alilo to BKB 1 Gantry ,42.88453870985561,38.55201834021817,,0.5,163,,11.383811,77.715617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,=SUM(E8:E72),=SUM(F8:F72),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
