Tower No,JOINT BOX,Tower Type,,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Difference (T Schedule - Span length Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,,GCR/S,S,25,9 to 10,250,261.544073,,8.798051279,6,468,,12.3121,78.22082,good ,good ,LT CROSSING,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22082 12.3121, 78.22176 12.31383)"
11,,HCR/T,T,24,10 to 11,245,217.1411387,,-12.00393974,6.4,468,25°7'8''   RT,12.31383,78.22176,good ,good ,LT LINE CROSSING,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22176 12.31383, 78.22372 12.31527)"
12,,HCR +3/T,T,28,11 to 12,270,266.3331323,,20.96884703,5.2,467,19°55'43''  LT,12.31527,78.22372,good ,good ,LT LINE CROSSING-2,road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22372 12.31527, 78.22519 12.31747)"
13,,GCR +3/S,S,28,12 to 13,280,291.4137351,,0.969447283,4.6,468,,12.31747,78.22519,good ,good ,11kv LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22519 12.31747, 78.2266 12.31964)"
14,,HCR +3/T,T,28,13 to 14 ,290,285.0739781,,20.11448219,5,471,24°16'7''    LT,12.31964,78.2266,good,good ,LT LINE CROSSING,Road,Plain ,Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2266 12.31964, 78.22694 12.32193)"
15,,HCR/T,T,24,14 to 15 ,265,256.2019487,,-29.76018269,5.3,474,21°45'49''   RT,12.32193,78.22694,good,good ,,,Plain ,Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22694 12.32193, 78.2281 12.3239)"
16,,GCR +3/S,S,28,15 to 16 ,240,252.0039397,,36.61911135,5.9,473,,12.3239,78.2281,good ,good ,,,Plain ,Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2281 12.3239, 78.22918 12.32578)"
17,,GCR +3/S,S,28,16 to 17 ,260,239.031153,,-4.244445726,8.6,471,,12.32578,78.22918,good ,good ,,,Plain ,Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22918 12.32578, 78.23026 12.32766)"
18,,KCR+3/T,T,29,17 to 18 ,240,239.0305527,,-15.88756785,8,469,41°35'50''  LT,12.32766,78.23026,good ,good ,11kv LINE CROSSING,,Plain ,Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23026 12.32766, 78.2297 12.33022)"
19,2W,KCR+3/T,T,29,18 to 19 ,310,289.8855178,,-28.93483024,3.2,465,42°31'19''  RT,12.33022,78.2297,good,good ,LT LINE CROSSING,Road,Plain ,Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2297 12.33022, 78.231 12.3324)"
20,,GCR/S,S,25,19 to 20 ,250,279.7601827,,39.79239065,,466,,12.3324,78.231,good,good ,11kv LINE CROSSING,,Plain ,water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.231 12.3324, 78.23203 12.33404)"
21,,HCR +3/T,T,28,20 to 21,250,213.3808887,,11.84559701,3.1,464,19°32'15'' LT,12.33404,78.23203,good,good ,,,Plain ,Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23203 12.33404, 78.23258 12.33655)"
22,,GCR/S,S,25,21 to 22 ,280,284.2444457,,-8.818168989,5.1,467,,12.33655,78.23258,good,good ,LT  LINE CROSSING,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23258 12.33655, 78.23321 12.33915)"
23,,HCR /T,T,24,22 to 23 ,280,295.8875679,,10.79731666,6.5,467,22°8'59''   RT,12.33915,78.23321,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23321 12.33915, 78.2347 12.3412)"
24,,GCR/S,S,25,23 to 24 ,250,278.9348302,,38.51555179,6.7,468,,12.3412,78.2347,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2347 12.3412, 78.23574 12.3428)"
25,,HCR+3/T,T,28,24 to 25,250,210.2076094,,-77.60850166,6.6,468,3°10'1''    LT,12.3428,78.23574,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23574 12.3428, 78.23695 12.34491)"
26,,GCR+3/S,S,28,25 to 26 ,280,268.154403,,23.32045766,6.8,468,,12.34491,78.23695,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23695 12.34491, 78.2382 12.34716)"
27,,HCR/T,T,24,26 to 27,275,283.818169,,2.301128398,6.9,467,18°11'23''  RT,12.34716,78.2382,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2382 12.34716, 78.23987 12.3487)"
28,,GCR/S,S,25,27 to 28 ,260,249.2026833,,15.13403598,6.8,466,11°23'36'' LT,12.3487,78.23987,good,good ,,Road,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23987 12.3487, 78.24105 12.35033)"
29,,HCR/T,T,24,28 to 29 ,260,221.4844482,,-31.30950588,5.6,463,40°26'14''  RT,12.35033,78.24105,good,good ,11kv LINE CROSSING,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24105 12.35033, 78.24388 12.35103)"
30,,GCR/S,S,25,29 to 30 ,240,317.6085017,,-2.713146962,8.2,461,,12.35103,78.24388,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24388 12.35103, 78.24582 12.35164)"
31,,HCR/T,T,24,30 to 31,245,221.6795423,,-5.068075359,6.3,467,9°31'0''    LT,12.35164,78.24582,good,good ,LT LINE CROSSING,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24582 12.35164, 78.24817 12.35283)"
32,,GCR/S,S,25,31 to 32,290,287.6988716,,1.391055737,5.3,458,,12.35283,78.24817,good,good ,11kv LINE CROSSING,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24817 12.35283, 78.25046 12.35398)"
33,,KCR+3/T,T,29,32 to 33,295,279.865964,,2.780032357,6.1,458,"60°52'20""   LT",12.35398,78.25046,good,good ,LT LINE CROSSING,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25046 12.35398, 78.25056 12.3567)"
34,,HCR/T,T,24,33 to 34,270,301.3095059,,6.885281748,6.3,457,6°45'13''    RT,12.3567,78.25056,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25056 12.3567, 78.25074 12.35784)"
1 Tapping,,KCR +3/T,T,26,34 to 1,125,127.713147,,21.41762864,7.2,456,84°6'1''       LT,12.35784,78.25074,good,good ,,,Mango Farm,Tapping tower  line going to Bargur SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25074 12.35784, 78.24834 12.35846)"
2,,HCR / T,T,24,1 to 2,265,270.0680754,,32.66474418,7.1,453,22°52'15''   RT,12.35846,78.24834,good,good ,Lt /11kv LINE CROSSING,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24834 12.35846, 78.24653 12.35983)"
3,,KCR+3/T,T,29,2 to 3,250,248.6089443,,-16.10291115,6.9,452,40°57'54''   RT,12.35983,78.24653,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24653 12.35983, 78.24597 12.36255)"
4,,KCR/T,T,26,3 to 4,310,307.2199676,,-0.788688169,7.2,453,52°51'53''    LT,12.36255,78.24597,good,good ,Lt /11kv LINE CROSSING,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24597 12.36255, 78.24375 12.3636)"
5,,HCR+3/T,T,28,4 to 5 ,275,268.1147183,,-5.490876034,6.2,457,1°2'18''       RT,12.3636,78.24375,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24375 12.3636, 78.24171 12.36461)"
6,,HCR+3/T,T,28,5 to 6 ,270,248.5823714,,10.49446281,5.4,460,26°30'47''    RT,12.36461,78.24171,good,good ,LT LINE CROSSING,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24171 12.36461, 78.24035 12.3664)"
7,,KCO+3/T,T,27,6 to 7,280,247.3352558,,-0.340735896,6.8,469,70°39'26''    RT,12.3664,78.24035,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24035 12.3664, 78.24197 12.36877)"
8,,HCR+3/T,T,28,7 to 8,300,316.1029111,,18.45393759,7.2,468,1°11'1''       RT,12.36877,78.24197,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24197 12.36877, 78.24329 12.37079)"
9,,KCR/T,T,26,8 to 9,265,265.7886882,,-1.49959727,7.3,468,46°11'40''   LT,12.37079,78.24329,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24329 12.37079, 78.2427 12.37321)"
10,,GCR+3/S,S,28,9 to 10,270,275.490876,,13.46272836,8,471,,12.37321,78.2427,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2427 12.37321, 78.24211 12.37576)"
11,,HCR/T,T,24,10 to 11,300,289.5055372,,4.967866299,6.5,473,12°31'3''     RT,12.37576,78.24211,good,good ,LT LINE CROSSING,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24211 12.37576, 78.2421 12.37766)"
12,,GCR/S,S,25,11 to 12,210,210.3407359,,14.99165582,6.3,473,,12.37766,78.2421,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2421 12.37766, 78.24207 12.37939)"
13,,KCR/T,T,26,12 to 13,210,191.5460624,,-33.0062903,6.7,473,48°14'24''   RT,12.37939,78.24207,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24207 12.37939, 78.24316 12.38038)"
14,,GCR/S,S,25,13 to 14 ,160,161.4995973,,-25.53955031,7.2,478,,12.38038,78.24316,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24316 12.38038, 78.2451 12.38213)"
15,2W,HCR/T,T,24,14 to 15 ,300,286.5372716,,5.377666092,6.3,466,22°32'55''   LT,12.38213,78.2451,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2451 12.38213, 78.2463 12.38467)"
16,,HCR+6/T,T,32,15 to 16 ,315,310.0321337,,13.01296487,7.2,465,21°12'7''    RT,12.38467,78.2463,good,good ,,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2463 12.38467, 78.24832 12.38658)"
17,,KCR+3/T,T,29,16 to 17 ,320,305.0083442,,-5.381990172,6.3,463,24°38'55''   LT,12.38658,78.24832,good,good ,LT LINE CROSSING,,Mango Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24832 12.38658, 78.2487 12.38753)"
17A,,HCR+3,T,28,17 to 17A,80,113.0062903,,-13.04772372,6.1,465,59°18'3''    LT,12.38753,78.2487,good,good ,,,Agricultural land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2487 12.38753, 78.24806 12.38834)"
18,,HCR,T,24,17A to 18,88,113.5395503,,34.43214467,5.3,465,57°32'18''  RT,12.38834,78.24806,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24806 12.38834, 78.24857 12.38974)"
19,,KCR+3/T,T,29,18 to 19 ,170,164.6223339,,-2,5.1,462,"12°26'12""   LT",12.38974,78.24857,good,good ,Lt /11kv LINE CROSSING,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24857 12.38974, 78.24895 12.39267)"
20,,KCR,T,26,19to 20,340,326.9870351,,16,6.7,457,49°7'24''     LT,12.39267,78.24895,good,good ,,ROAD,River,River Crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24895 12.39267, 78.2472 12.39459)"
21,,KCR+3,T,28,20 to 21,280,285.3819902,,-25,3.2,457,44°54'58''   RT,12.39459,78.2472,good,good ,LT LINE CROSSING,,Agricultural land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2472 12.39459, 78.247344 12.397233)"
22,,HCR,T,24,21 to 22 ,280,293.0477237,,17,7.2,457,,12.397233,78.247344,good,good ,LT LINE CROSSING,Road,Agricultural land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.247344 12.397233, 78.247482 12.39981)"
23,,HCR+6,T,32,22 to 23 ,320,285.5678553,,6.91094946,4,457,,12.39981,78.247482,good,good ,Lt /11kv LINE CROSSING,,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.247482 12.39981, 78.24734 12.401175)"
24,,KCR+6,T,32,23 to 24 ,150,152,,0,9,457,41°38'40''   LT,12.401175,78.24734,good,good ,Lt /11kv LINE CROSSING,,Plain,River Crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24734 12.401175, 78.2451 12.40274)"
25,,KCR/T,T,26,24 to 25,315,299,,0,6.2,463,5°5'20''      RT,12.40274,78.2451,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2451 12.40274, 78.24421 12.40406)"
26,,KCR/T,T,26,25 to 26 ,150,175,,0,4.3,458,67°58'0''    LT,12.40406,78.24421,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24421 12.40406, 78.24301 12.40382)"
27,,KCR/T,T,26,26 to 27,150,133,,0,5.8,459,48°56'34''  LT,12.40382,78.24301,good,good ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24301 12.40382, 78.24286 12.40356)"
Panneswaramadam Gantry ,2W, Gantry ,T,20,27 to GANTRY,40,33.08905054,,0,,,,12.40356,78.24286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
