S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
91,35,GCR(S),DA,34,34-35,210,180.0158389187628,0.93,866,,12.51392,77.80576,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80576 12.51392, 77.8047 12.51294)"
92,36,HCR(T),DD,36,35-36,165,158.32038705009296,0.79,863,"30°42'50""(RT)",12.51294,77.8047,GOOD,GOOD,LT LINE CROSSING-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8047 12.51294, 77.80223 12.5124)"
93,37,HCR(T),DB,32,36-37,240,275.2424635503198,0.84,863,"07°02'05""(RT)",12.5124,77.80223,GOOD,GOOD,,LAKE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80223 12.5124, 77.80012 12.5122)"
94,38,HCR(T),DC,34,37-38,210,230.5784194785664,0.93,871,"21°50'54""(RT)",12.5122,77.80012,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80012 12.5122, 77.79762 12.51292)"
95,39,GCR+3M(S),DA+3,37,38-39,210,283.375671123337,1.37,877,,12.51292,77.79762,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79762 12.51292, 77.79507 12.51363)"
96,40,GCR(T),DB,32,39-40,150,288.2936645757586,0.67,885,"05°23'48""(LT)",12.51363,77.79507,GOOD,GOOD,,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79507 12.51363, 77.79247 12.5141)"
97,41,HCR+6M(S),DA+6,40,40-41,300,287.5554607926961,0.93,893,,12.5141,77.79247,GOOD,GOOD,11 KV CROSSING -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79247 12.5141, 77.79111 12.51435)"
98,42,KCR (T),DD,36,41-42,150,150.49707239404813,0.86,884,"70°35'55""(RT)",12.51435,77.79111,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79111 12.51435, 77.79079 12.51638)"
99,43,KCR (T),DB,32,42-43,210,227.41696457498173,0.87,879,"09°06'23""(LT)",12.51638,77.79079,GOOD,GOOD,LT LINE-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79079 12.51638, 77.79029 12.5179)"
100,44,KCR (T),DC,34,43-44,155,176.8465457372231,0.39,884,"22°23'15""(LT)",12.5179,77.79029,GOOD,GOOD,"11KV LINE-3,33 KV-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79029 12.5179, 77.79016 12.51805)"
101,DENKANIKOTTAI GANTRY,DENKANIKOTTAI GANTRY,T,20,,,21.810791519267543,,884,,12.51805,77.79016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H8:H107),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
