S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,11,LSR+3,35,10-11,255,=F17,,,"31°14'12""(RT)",12.552232986956328,78.4877655737394,GOOD,NO,LT - 2NOS,VELAKKALNATHAM - AAGHRAM B.T ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4877655737394 12.552232986956328, 78.48685541650201 12.550299984555755)"
12,12,KSR+3M,36,11-12,235,=F18,,,"04°44'18""(LT)",12.550299984555755,78.48685541650201,GOOD,NO,LT LINE - 2 NO,STREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,GR+3M,35,12-13,270,=F19,,,,12.548024239257607,78.48600838584827,GOOD,NO,LT LINE 2 NOS,"VELAKKALNATHAM - PUDHUPET B.T ROAD, MANGO GROOVE & COCONUT GROOVE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,KSR+3M,35,13-14,270,=F20,,,"05°50'51""(RT)",12.54574849395946,78.48516135519452,GOOD,NO,,COONUT GROOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,extra tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,KSR+3,35,14-15,295,=F22,,,"03°05'38""(RT)",12.543343034627467,78.48397071593178,GOOD,NO,HT LINE 2 NOS & LT LINE 1 NOS,"MANGO GROOVE, VELAKKALNATHAM -PUDHUPET B.T ROAD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,KSR+3,35,15-16,250,=F23,,,"07°02'40""(RT)",12.541390150041503,78.4828676667233,GOOD,NO,LT LINE -2 NOS,COCONUT GROOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,KSR+6,35,16-17,275,=F24,,,"08°47'14""(LT)",12.53940671026085,78.48139705759054,GOOD,NO,,LAKE BUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,LSR+3,35,17-18,265,=F25,,,"32°44'36""(LT)",12.537291118910069,78.48028642616052,GOOD,NO,LT -1 NOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,KSR+3,35,18-19,225,=F26,,,"31°06'45""(RT)",12.535296191906834,78.48048055831121,GOOD,NO,LT LINE - 1 NOS,VELAKKALNATHAM -PANIYANDAPALLI B.T ROAD MANGO GROOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,KSR+3,35,19-20,290,=F27,,,"03°20'07""(LT)",12.53288324799297,78.47945560636418,GOOD,NO,LT LINE 1 NOS,MANGO GROOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,KSR+3,35,20-21,285,=F28,,,"06°10'16""(RT)",12.5304804597555,78.47855012493623,GOOD,NO,LT LINE 1 NOS & HT LINE -1 NOS,MANGO & COCONUT Groove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,LSR+3,35,21-22,275,=F29,,,"38°52'31""(LT)",12.528274438530863,78.47743122624198,GOOD,NO,,mango groove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,LSR,35,22-23,265,=F30,,,"47°29'28""(RT)",12.526008803300487,78.4766991675451,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,LSR WITH X CROSSARM,35,23-24,110,=F31,,,,12.525584506859637,78.47577447271686,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,GANTRY,35,24-GANTRY,40,=F32,,,,12.525584506859637,78.47577447271686,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
